course_code,course_title,program,year_level,term,course_type,units,hours_per_week
CCINFOSEC,Information Security,BSIT,2,2,Both,4,6
GEETHICS,Ethics,BSIT,2,2,Lecture,3,3
GERESEL1,Research Methods,BSIT,2,2,Lecture,3,3
CCSERVMAN,Server Management,BSIT,2,3,Both,4,6
CCCLOUDCOM,Cloud Computing,BSIT,2,3,Both,4,6
CCPROMAN,Project Management,BSIT,2,3,Lecture,3,3
GESTATS,Statistics and Probability,BSIT,2,3,Lecture,3,3
# BSIT Courses - Year 3
CCDEVOPS,DevOps and Automation,BSIT,3,1,Both,4,6
CCBIGDATA,Big Data Technologies,BSIT,3,1,Both,4,6
CCITMANAG,IT Management and Governance,BSIT,3,1,Lecture,3,3
CCTHESIS1,Thesis Writing 1,BSIT,3,1,Lecture,3,3
GELITREV,Literature Review,BSIT,3,1,Lecture,3,3
CCNETWORK,Advanced Networking,BSIT,3,2,Both,4,6
CCVIRTU,Virtualization Technologies,BSIT,3,2,Both,4,6
CCITSRVC,IT Service Management,BSIT,3,2,Both,4,6
CCTHESIS2,Thesis Writing 2,BSIT,3,2,Lecture,3,3
GERESEL2,Research Methodology,BSIT,3,2,Lecture,3,3
CCPRACTI,Practicum,BSIT,3,3,Lecture,6,6
CCELECT1,IT Elective 1,BSIT,3,3,Lecture,3,3
CCELECT2,IT Elective 2,BSIT,3,3,Lecture,3,3
# BSIT Courses - Year 4
CCTHESIS3,Thesis Implementation,BSIT,4,1,Lecture,6,6
CCELECT3,IT Elective 3,BSIT,4,1,Lecture,3,3
CCELECT4,IT Elective 4,BSIT,4,1,Lecture,3,3
CCPRPSEM,Professional Seminar,BSIT,4,1,Lecture,3,3
GERESELM,Research Methodology in IT,BSIT,4,1,Lecture,3,3
CCTHESIS4,Thesis Defense,BSIT,4,2,Lecture,3,3
CCINTERN,Internship,BSIT,4,2,Lecture,6,6
CCELECT5,IT Elective 5,BSIT,4,2,Lecture,3,3
CCELECT6,IT Elective 6,BSIT,4,2,Lecture,3,3
# BSIS Courses - Year 1
CCINCOMX,Introduction to Computing,BSIS,1,1,Lecture,3,3
CCINCOBL,Introduction to Computing Lab,BSIS,1,1,Lab,1,3
CCPRGG1X,Fundamentals of Programming,BSIS,1,1,Lecture,3,3
CCPRG1BL,Fundamentals of Programming Lab,BSIS,1,1,Lab,1,3
GEMATMW,Mathematics in the Modern World,BSIS,1,1,Lecture,3,3
GEUNDSE,Understanding the Self,BSIS,1,1,Lecture,3,3
NSTP1,National Service Training Program 1,BSIS,1,1,Lecture,3,3
PE1,Physical Education 1,BSIS,1,1,Lecture,2,2
CCFUINSY,Fundamentals of Information Systems,BSIS,1,2,Lecture,3,3
CCPRGG2X,Intermediate Programming,BSIS,1,2,Lecture,3,3
CCPRG2BL,Intermediate Programming Lab,BSIS,1,2,Lab,1,3
GECYBER,Cybersecurity Fundamentals,BSIS,1,2,Lecture,3,3
GEPURCO,Purposive Communication,BSIS,1,2,Lecture,3,3
GERDHUM,Readings in Philippine History,BSIS,1,2,Lecture,3,3
NSTP2,National Service Training Program 2,BSIS,1,2,Lecture,3,3
PE2,Physical Education 2,BSIS,1,2,Lecture,2,2
CCDATRCL,Data Structures and Algorithms,BSIS,1,3,Both,4,6
CCORMACO,Organization and Management Concepts,BSIS,1,3,Lecture,3,3
GEARTAP,Art Appreciation,BSIS,1,3,Lecture,3,3
GESCITEC,Science Technology and Society,BSIS,1,3,Lecture,3,3
PE3,Physical Education 3,BSIS,1,3,Lecture,2,2
# BSIS Courses - Year 2
CCDATABA,Database Management Systems,BSIS,2,1,Both,4,6
CCSYSANA,Systems Analysis and Design,BSIS,2,1,Both,4,6
CCWEBDEV,Web Development,BSIS,2,1,Both,4,6
GEPHILO,Introduction to Philosophy,BSIS,2,1,Lecture,3,3
PE4,Physical Education 4,BSIS,2,1,Lecture,2,2
CCBUSINT,Business Intelligence,BSIS,2,2,Both,4,6
CCNETWORK,Networking and Data Communications,BSIS,2,2,Both,4,6
CCPROMAN,Project Management,BSIS,2,2,Lecture,3,3
GEETHICS,Ethics,BSIS,2,2,Lecture,3,3
GERESEL1,Research Methods,BSIS,2,2,Lecture,3,3
CCSYSINT,Systems Integration,BSIS,2,3,Both,4,6
CCINFOSC,Information Security,BSIS,2,3,Both,4,6
CCQUALIT,Quality Assurance,BSIS,2,3,Lecture,3,3
GESTATS,Statistics and Probability,BSIS,2,3,Lecture,3,3
# BSIS Courses - Year 3
CCENTSYS,Enterprise Systems,BSIS,3,1,Both,4,6
CCDATASC,Data Science and Analytics,BSIS,3,1,Both,4,6
CCBUSAPP,Business Applications Development,BSIS,3,1,Both,4,6
CCTHESIS1,Thesis Writing 1,BSIS,3,1,Lecture,3,3
GELITREV,Literature Review,BSIS,3,1,Lecture,3,3
CCINFMAN,Information Systems Management,BSIS,3,2,Lecture,3,3
CCITSRVC,IT Service Management,BSIS,3,2,Both,4,6
CCECOMRC,E-Commerce Systems,BSIS,3,2,Both,4,6
CCTHESIS2,Thesis Writing 2,BSIS,3,2,Lecture,3,3
GERESEL2,Research Methodology,BSIS,3,2,Lecture,3,3
CCPRACTI,Practicum,BSIS,3,3,Lecture,6,6
CCELECT1,IS Elective 1,BSIS,3,3,Lecture,3,3
CCELECT2,IS Elective 2,BSIS,3,3,Lecture,3,3
# BSIS Courses - Year 4
CCTHESIS3,Thesis Implementation,BSIS,4,1,Lecture,6,6
CCELECT3,IS Elective 3,BSIS,4,1,Lecture,3,3
CCELECT4,IS Elective 4,BSIS,4,1,Lecture,3,3
CCPRPSEM,Professional Seminar,BSIS,4,1,Lecture,3,3
GERESELM,Research Methodology in IS,BSIS,4,1,Lecture,3,3
CCTHESIS4,Thesis Defense,BSIS,4,2,Lecture,3,3
CCINTERN,Internship,BSIS,4,2,Lecture,6,6
CCELECT5,IS Elective 5,BSIS,4,2,Lecture,3,3
CCELECT6,IS Elective 6,BSIS,4,2,Lecture,3,3
