room_name,room_type,capacity,available_days,start_time,end_time
Room201,Lecture,40,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:00,21:00
Room202,Lecture,40,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:00,21:00
Room203,Lecture,40,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:00,21:00
ComLab4,Lab,40,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:00,21:00
ComLab5,Lab,40,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:00,21:00
VRoom201,Lecture,40,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:00,21:00
VRoom202,Lecture,40,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:00,21:00
VRoom203,Lecture,40,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",7:00,21:00
